"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.931599375E0,-2.193914599E-1,-6.476838718E-1,-2.718130821E-1,7.358731970E-1
2.941556375E0,-4.217449008E-1,-6.070417761E-1,-3.333439171E-1,8.108555028E-1
2.951514375E0,-4.957115575E-1,-6.074439184E-1,-2.662149578E-1,8.280026969E-1
2.961471375E0,-4.177495349E-1,-5.095508572E-1,-3.509323418E-2,6.598395904E-1
2.971429375E0,-4.483176454E-1,-3.094179878E-1,2.776661450E-1,6.114136819E-1
2.981386375E0,-4.342210317E-1,-2.329940752E-1,3.689376730E-1,6.155884583E-1
2.991344375E0,-3.270003460E-1,-2.763859702E-1,1.612667924E-1,4.575209384E-1
3.001301375E0,-1.889763819E-1,-3.827665573E-1,-7.981683254E-2,4.342729983E-1
3.011259375E0,-1.266488821E-1,-5.959715351E-1,-1.434468180E-1,6.259384950E-1
3.021216375E0,-8.814213473E-2,-7.420291349E-1,-3.251437819E-1,8.149200892E-1
3.031174375E0,1.646365793E-2,-6.982833371E-1,-5.817008936E-1,9.089810782E-1
3.041131375E0,1.818515131E-2,-6.652848680E-1,-6.575427890E-1,9.355731797E-1
3.051089375E0,2.923123604E-2,-5.335176440E-1,-5.089159226E-1,7.378963057E-1
3.061046375E0,9.132498435E-2,-2.542164713E-1,-1.479550213E-1,3.079885637E-1
3.071004375E0,1.029864702E-1,1.421159186E-1,2.072025186E-1,2.715437922E-1
3.080961375E0,1.484872915E-1,4.449368584E-1,4.405029148E-1,6.434750202E-1
